Adjusted Potential (V),Adjusted Relative Capacity (mAh/g),Frequency (Hz),Zre (ohms),Zim (ohms),Type,Cycle
,,100000.0,192.34,21.48,0,1
,,79432.82,193.31,15.92,0,1
,,63095.74,193.82,11.39,0,1
,,50118.72,194.94,8.46,0,1
,,39810.72,195.67,4.63,0,1
,,31622.78,196.21,2.07,0,1
,,25118.86,197.07,-0.17,0,1
,,19952.62,197.73,-2.1,0,1
,,15848.93,198.44,-3.96,0,1
,,12589.25,199.28,-5.78,0,1
,,10000.0,200.27,-7.58,0,1
,,7943.28,201.24,-9.4,0,1
,,6309.57,202.49,-11.46,0,1
,,5011.87,203.71,-13.78,0,1
,,3981.07,205.15,-16.22,0,1
,,3162.28,206.92,-19.06,0,1
,,2511.89,208.87,-22.41,0,1
,,1995.26,211.07,-26.13,0,1
,,1584.89,213.7,-30.52,0,1
,,1258.93,216.91,-35.54,0,1
,,1000.0,220.51,-41.3,0,1
,,794.33,224.82,-47.99,0,1
,,630.96,229.83,-55.72,0,1
,,501.19,235.64,-64.44,0,1
,,398.11,242.66,-74.44,0,1
,,316.23,250.55,-85.9,1,1
,,251.19,259.42,-98.94,1,1
,,199.53,269.3,-114.09,0,1
,,158.49,280.36,-131.39,0,1
,,125.89,292.67,-151.47,0,1
,,100.0,306.27,-175.01,0,1
,,79.43,320.04,-203.03,1,1
,,63.1,336.75,-235.53,0,1
,,50.12,353.59,-274.94,1,1
,,39.81,372.18,-324.83,0,1
,,31.62,392.06,-386.85,1,1
,,25.12,421.5,-454.02,0,1
,,19.95,439.15,-543.73,0,1
,,15.85,468.21,-659.83,1,1
,,12.59,497.65,-787.45,0,1
,,10.0,536.09,-962.1,0,1
,,7.94,573.21,-1164.12,0,1
,,6.31,637.27,-1411.02,1,1
,,5.01,694.9,-1733.59,0,1
,,3.98,761.16,-2120.2,0,1
,,3.16,850.24,-2587.68,0,1
,,2.51,956.01,-3170.04,0,1
,,2.0,1093.63,-3872.64,0,1
,,1.58,1268.33,-4743.02,0,1
,,1.26,1475.54,-5831.24,0,1
,,1.0,1739.72,-7157.89,0,1
,,0.79,2056.31,-8796.86,0,1
,,0.63,2437.98,-10813.15,0,1
,,0.5,2918.65,-13288.64,0,1
,,0.4,3502.15,-16336.27,0,1
,,0.32,4230.57,-20084.34,0,1
,,0.25,5145.66,-24694.51,0,1
,,0.2,6119.79,-30292.32,0,1
,,0.16,7669.57,-37308.12,0,1
,,0.13,9511.08,-45832.19,0,1
,,0.1,11848.44,-56286.26,0,1
2.2,0.94,100000.0,191.16,22.68,1,1
2.2,0.94,79432.82,192.15,17.2,1,1
2.2,0.94,63095.74,192.76,12.91,1,1
2.2,0.94,50118.72,193.16,10.19,1,1
2.2,0.94,39810.72,193.83,6.98,1,1
2.2,0.94,31622.78,194.41,4.9,1,1
2.2,0.94,25118.86,194.9,3.04,1,1
2.2,0.94,19952.62,195.39,1.6,1,1
2.2,0.94,15848.93,195.91,0.43,1,1
2.2,0.94,12589.25,196.42,-0.51,1,1
2.2,0.94,10000.0,196.91,-1.26,1,1
2.2,0.94,7943.28,197.45,-2.0,1,1
2.2,0.94,6309.57,197.96,-2.6,1,1
2.2,0.94,5011.87,198.58,-3.21,1,1
2.2,0.94,3981.07,199.25,-3.72,1,1
2.2,0.94,3162.28,199.88,-4.31,1,1
2.2,0.94,2511.89,200.6,-4.72,1,1
2.2,0.94,1995.26,201.25,-5.26,1,1
2.2,0.94,1584.89,202.09,-5.66,1,1
2.2,0.94,1258.93,202.88,-6.17,1,1
2.2,0.94,1000.0,203.85,-6.68,1,1
2.2,0.94,794.33,204.7,-7.19,1,1
2.2,0.94,630.96,205.67,-7.87,1,1
2.2,0.94,501.19,206.8,-8.44,1,1
2.2,0.94,398.11,207.8,-9.18,1,1
2.2,0.94,316.23,209.09,-9.94,1,1
2.2,0.94,251.19,210.29,-10.79,1,1
2.2,0.94,199.53,211.74,-11.79,1,1
2.2,0.94,158.49,213.18,-13.01,1,1
2.2,0.94,125.89,214.69,-14.39,1,1
2.2,0.94,100.0,216.42,-15.76,1,1
2.2,0.94,79.43,218.25,-17.4,1,1
2.2,0.94,63.1,220.1,-19.45,1,1
2.2,0.94,50.12,222.28,-21.66,1,1
2.2,0.94,39.81,224.44,-24.44,1,1
2.2,0.94,31.62,227.02,-27.48,1,1
2.2,0.94,25.12,230.04,-31.25,1,1
2.2,0.94,19.95,233.45,-35.72,1,1
2.2,0.94,15.85,236.8,-40.81,1,1
2.2,0.94,12.59,240.57,-46.08,1,1
2.2,0.94,10.0,245.66,-54.19,1,1
